creator_id,creator_name,platform,category,tier,knowledge_text,embedding_version,last_updated
CRE_0011,Minh Ly,YouTube,Fashion,Mega,"Minh Ly là một Mega creator hoạt động chủ yếu trên YouTube, chuyên sản xuất nội dung trong lĩnh vực Fashion. Creator này hiện có 2,516,991 người theo dõi với engagement rate 11.88%. Trong năm 2024, Minh Ly đã tham gia 6 chiến dịch, hoạt động trong 97 ngày, với tổng ngân sách chi tiêu 856.9M VND và doanh thu quy đổi 132.7M VND. Chỉ số ROI đạt -84.5% và ROAS là 0.15x. Creator phù hợp với các chiến dịch nhắm đến đối tượng rộng hơn. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0012,Lan Cao,Lazada Live,Technology,Mega,"Lan Cao là một Mega creator hoạt động chủ yếu trên Lazada Live, chuyên sản xuất nội dung trong lĩnh vực Technology. Creator này hiện có 2,725,280 người theo dõi với engagement rate 10.27%. Trong năm 2024, Lan Cao đã tham gia 6 chiến dịch, hoạt động trong 167 ngày, với tổng ngân sách chi tiêu 1671.3M VND và doanh thu quy đổi 119.0M VND. Chỉ số ROI đạt -92.9% và ROAS là 0.07x. Creator phù hợp với các chiến dịch nhắm đến đối tượng rộng hơn. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0013,Tuan Dinh,Shopee Live,Beauty & Skincare,Mega,"Tuan Dinh là một Mega creator hoạt động chủ yếu trên Shopee Live, chuyên sản xuất nội dung trong lĩnh vực Beauty & Skincare. Creator này hiện có 6,305,615 người theo dõi với engagement rate 10.64%. Trong năm 2024, Tuan Dinh đã tham gia 5 chiến dịch, hoạt động trong 117 ngày, với tổng ngân sách chi tiêu 1092.3M VND và doanh thu quy đổi 106.4M VND. Chỉ số ROI đạt -90.3% và ROAS là 0.10x. Creator phù hợp với các chiến dịch nhắm đến đối tượng rộng hơn. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0014,Hoa Ngo,YouTube,Technology,Mega,"Hoa Ngo là một Mega creator hoạt động chủ yếu trên YouTube, chuyên sản xuất nội dung trong lĩnh vực Technology. Creator này hiện có 4,192,855 người theo dõi với engagement rate 5.35%. Trong năm 2024, Hoa Ngo đã tham gia 4 chiến dịch, hoạt động trong 96 ngày, với tổng ngân sách chi tiêu 790.1M VND và doanh thu quy đổi 125.6M VND. Chỉ số ROI đạt -84.1% và ROAS là 0.16x. Creator phù hợp với các chiến dịch nhắm đến đối tượng rộng hơn. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0015,Viet Truong,Facebook,Food & Beverage,Mega,"Viet Truong là một Mega creator hoạt động chủ yếu trên Facebook, chuyên sản xuất nội dung trong lĩnh vực Food & Beverage. Creator này hiện có 2,226,975 người theo dõi với engagement rate 2.54%. Trong năm 2024, Viet Truong đã tham gia 1 chiến dịch, hoạt động trong 44 ngày, với tổng ngân sách chi tiêu 307.9M VND và doanh thu quy đổi 122.5M VND. Chỉ số ROI đạt -60.2% và ROAS là 0.40x. Creator phù hợp với các chiến dịch nhắm đến đối tượng rộng hơn. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0016,Phuong Nguyen,Shopee Live,Finance,Mega,"Phuong Nguyen là một Mega creator hoạt động chủ yếu trên Shopee Live, chuyên sản xuất nội dung trong lĩnh vực Finance. Creator này hiện có 4,908,862 người theo dõi với engagement rate 5.71%. Trong năm 2024, Phuong Nguyen đã tham gia 2 chiến dịch, hoạt động trong 53 ngày, với tổng ngân sách chi tiêu 507.1M VND và doanh thu quy đổi 137.1M VND. Chỉ số ROI đạt -73.0% và ROAS là 0.27x. Creator phù hợp với các chiến dịch nhắm đến đối tượng rộng hơn. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0017,Long Ha,TikTok,Technology,Mega,"Long Ha là một Mega creator hoạt động chủ yếu trên TikTok, chuyên sản xuất nội dung trong lĩnh vực Technology. Creator này hiện có 1,358,824 người theo dõi với engagement rate 2.68%. Trong năm 2024, Long Ha đã tham gia 1 chiến dịch, hoạt động trong 50 ngày, với tổng ngân sách chi tiêu 390.5M VND và doanh thu quy đổi 134.0M VND. Chỉ số ROI đạt -65.7% và ROAS là 0.34x. Creator phù hợp với các chiến dịch nhắm đến thế hệ trẻ Gen Z và Millennials. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0018,Thao Nguyen,Instagram,Home & Living,Macro,"Thao Nguyen là một Macro creator hoạt động chủ yếu trên Instagram, chuyên sản xuất nội dung trong lĩnh vực Home & Living. Creator này hiện có 537,909 người theo dõi với engagement rate 5.23%. Trong năm 2024, Thao Nguyen đã tham gia 4 chiến dịch, hoạt động trong 120 ngày, với tổng ngân sách chi tiêu 1001.2M VND và doanh thu quy đổi 128.7M VND. Chỉ số ROI đạt -87.2% và ROAS là 0.13x. Creator phù hợp với các chiến dịch nhắm đến thế hệ trẻ Gen Z và Millennials. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0019,Hung Le,Lazada Live,Finance,Mega,"Hung Le là một Mega creator hoạt động chủ yếu trên Lazada Live, chuyên sản xuất nội dung trong lĩnh vực Finance. Creator này hiện có 9,798,030 người theo dõi với engagement rate 10.73%. Trong năm 2024, Hung Le đã tham gia 4 chiến dịch, hoạt động trong 91 ngày, với tổng ngân sách chi tiêu 805.8M VND và doanh thu quy đổi 144.6M VND. Chỉ số ROI đạt -82.0% và ROAS là 0.18x. Creator phù hợp với các chiến dịch nhắm đến đối tượng rộng hơn. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
CRE_0020,Quynh Tran,Lazada Live,Health & Fitness,Mega,"Quynh Tran là một Mega creator hoạt động chủ yếu trên Lazada Live, chuyên sản xuất nội dung trong lĩnh vực Health & Fitness. Creator này hiện có 1,039,118 người theo dõi với engagement rate 10.63%. Trong năm 2024, Quynh Tran đã tham gia 3 chiến dịch, hoạt động trong 75 ngày, với tổng ngân sách chi tiêu 623.9M VND và doanh thu quy đổi 127.5M VND. Chỉ số ROI đạt -79.6% và ROAS là 0.20x. Creator phù hợp với các chiến dịch nhắm đến đối tượng rộng hơn. Đánh giá tổng quan: Cần đánh giá lại chiến lược hợp tác.",v1.0,2025-01-01
